,Name,street_address,city,state,zip_code,post_code,latitude,longitude,green,idx,coords
83,Best Western Plus Park Place Inn Mini Suites,1544 S Harbor Blvd,Anaheim,California,92802,92802-2312,33.809548799999995,-117.91423590000002,0,13,"(33.809548799999995, -117.91423590000002)"
84,Disney's Disneyland Hotel,1150 West Magic Way,Anaheim,California,92802,92802-2297,33.80890170000001,-117.9270524,0,26,"(33.808901700000007, -117.92705239999999)"
85,Best Western Plus Anaheim Inn,1630 South Harbor Boulevard,Anaheim,California,92802,92802-2314,33.808268700000006,-117.91437320000001,0,7,"(33.808268700000006, -117.91437320000001)"
86,Howard Johnson Los Angeles Anaheim Area,1380 South Harbor Boulevard,Anaheim,California,92802,92802-2310,33.813999200000005,-117.9145334,0,51,"(33.813999200000005, -117.9145334)"
87,DoubleTree Suites Anaheim Resort Convention Center,2085 S Harbor Blvd,Anaheim,California,92802,92802-3513,33.796378999999995,-117.915851,0,30,"(33.796378999999995, -117.915851)"
88,Hotel Indigo Anaheim Maingate,435 West Katella Avenue,Anaheim,California,92802,92802-3607,33.8036719,-117.9136126,0,49,"(33.803671899999998, -117.91361259999999)"
89,The Hollywood Roosevelt,7000 Hollywood Boulevard,Los Angeles,California,90028,90028-6003,34.1012777,-118.34161280000001,0,84,"(34.101277699999997, -118.34161280000001)"
90,Omni Los Angeles Hotel,251 S Olive St,Los Angeles,California,90012,90012-3002,34.0525457,-118.25056090000001,0,63,"(34.052545700000003, -118.25056090000001)"
91,Four Seasons Hotel Los Angeles,300 S Doheny Dr,Los Angeles,California,90048,90048-3704,34.0621234,-118.3896124,0,36,"(34.062123399999997, -118.3896124)"
92,Motel 6 Lompoc,1521 North H Street,Lompoc,California,93436,93436-2818,34.6631786,-120.4587194,0,60,"(34.663178600000002, -120.45871940000001)"
93,Holiday Inn Express Lompoc,1417 N H St,Lompoc,California,93436,93436-3309,34.6624894,-120.4584009,0,45,"(34.662489399999998, -120.4584009)"
